Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count,Index Field
France,C,17,DF,Adil Rami,12/27/1985,32,35,1,Marseille,1,France17DF31408
France,C,18,FW,Nabil Fekir,7/18/1993,24,11,2,Lyon,1,France18FW34168
France,C,19,DF,Djibril Sidibé,7/29/1992,25,16,1,Monaco,1,France19DF33814
France,C,20,FW,Florian Thauvin,1/26/1993,25,4,0,Marseille,1,France20FW33995
France,C,21,DF,Lucas Hernández,2/14/1996,22,4,0,Atlético Madrid,1,France21DF35109
France,C,22,DF,Benjamin Mendy,7/17/1994,23,6,0,Manchester City,1,France22DF34532
France,C,23,GK,Alphonse Areola,2/27/1993,25,0,0,Paris Saint-Germain,1,France23GK34027
Peru,C,1,GK,Pedro Gallese,2/23/1990,28,37,0,Veracruz,1,Peru1GK32927
Peru,C,2,DF,Alberto Rodríguez,3/31/1984,34,58,0,Atlético Junior,1,Peru2DF30772
Peru,C,3,DF,Aldo Corzo,5/20/1989,29,25,0,Universitario,1,Peru3DF32648
Peru,C,4,DF,Anderson Santamaría,1/10/1992,26,3,0,Puebla,1,Peru4DF33613
Peru,C,5,DF,Miguel Araujo,10/24/1994,23,7,0,Alianza Lima,1,Peru5DF34631
Peru,C,6,DF,Miguel Trauco,8/25/1992,25,26,0,Flamengo,1,Peru6DF33841
Peru,C,7,MF,Paolo Hurtado,7/27/1990,27,31,3,Vitória de Guimarães,1,Peru7MF33081
Peru,C,8,MF,Christian Cueva,11/23/1991,26,43,8,São Paulo,1,Peru8MF33565
Peru,C,9,FW,Paolo Guerrero (captain),1/1/1984,34,87,34,Flamengo,1,Peru9FW30682
Peru,C,10,FW,Jefferson Farfán,10/26/1984,33,83,25,Lokomotiv Moscow,1,Peru10FW30981
Peru,C,11,FW,Raúl Ruidíaz,7/25/1990,27,30,4,Morelia,1,Peru11FW33079
Peru,C,12,GK,Carlos Cáceda,9/27/1991,26,4,0,Deportivo Municipal,1,Peru12GK33508
Peru,C,13,MF,Renato Tapia,7/28/1995,22,22,1,Feyenoord,1,Peru13MF34908
Peru,C,14,MF,Andy Polo,9/29/1994,23,16,1,Portland Timbers,1,Peru14MF34606
Peru,C,15,DF,Christian Ramos,11/4/1988,29,65,3,Veracruz,1,Peru15DF32451
Peru,C,16,MF,Wilder Cartagena,9/23/1994,23,3,0,Veracruz,1,Peru16MF34600
Peru,C,17,DF,Luis Advíncula,3/2/1990,28,64,0,Lobos BUAP,1,Peru17DF32934
Peru,C,18,FW,André Carrillo,6/14/1991,26,44,5,Watford,1,Peru18FW33403
Peru,C,19,MF,Yoshimar Yotún,4/7/1990,28,72,2,Orlando City,1,Peru19MF32970
Peru,C,20,FW,Edison Flores,5/14/1994,24,28,9,AaB,1,Peru20FW34468
Peru,C,21,GK,José Carvallo,3/1/1986,32,6,0,UTC,1,Peru21GK31472
Peru,C,22,DF,Nilson Loyola,10/26/1994,23,3,0,Melgar,1,Peru22DF34633
Peru,C,23,MF,Pedro Aquino,4/13/1995,23,12,0,Lobos BUAP,1,Peru23MF34802
Argentina,D,1,GK,Nahuel Guzmán,2/10/1986,32,6,0,UANL,1,Argentina1GK31453
Argentina,D,2,DF,Gabriel Mercado,3/18/1987,31,20,3,Sevilla,1,Argentina2DF31854
Argentina,D,3,DF,Nicolás Tagliafico,8/31/1992,25,4,0,Ajax,1,Argentina3DF33847
Argentina,D,4,DF,Cristian Ansaldi,9/20/1986,31,5,0,Torino,1,Argentina4DF31675
Argentina,D,5,MF,Lucas Biglia,1/30/1986,32,57,1,Milan,1,Argentina5MF31442
Argentina,D,6,DF,Federico Fazio,3/17/1987,31,9,1,Roma,1,Argentina6DF31853
Argentina,D,7,MF,Éver Banega,6/29/1988,29,62,6,Sevilla,1,Argentina7MF32323
Argentina,D,8,DF,Marcos Acuña,10/28/1991,26,10,0,Sporting CP,1,Argentina8DF33539
Argentina,D,9,FW,Gonzalo Higuaín,12/10/1987,30,71,31,Juventus,1,Argentina9FW32121
Argentina,D,10,FW,Lionel Messi (captain),6/24/1987,30,124,64,Barcelona,1,Argentina10FW31952
Argentina,D,11,MF,Ángel Di María,2/14/1988,30,94,19,Paris Saint-Germain,1,Argentina11MF32187
Argentina,D,12,GK,Franco Armani,10/16/1986,31,0,0,River Plate,1,Argentina12GK31701
Argentina,D,13,MF,Maximiliano Meza,12/15/1992,25,2,0,Independiente,1,Argentina13MF33953
Argentina,D,14,DF,Javier Mascherano,6/8/1984,33,143,3,Hebei China Fortune,1,Argentina14DF30841
Argentina,D,15,MF,Manuel Lanzini,2/15/1993,25,4,1,West Ham United,1,Argentina15MF34015
Argentina,D,16,DF,Marcos Rojo,3/20/1990,28,56,2,Manchester United,1,Argentina16DF32952
Argentina,D,17,DF,Nicolás Otamendi,2/12/1988,30,54,4,Manchester City,1,Argentina17DF32185
Argentina,D,18,DF,Eduardo Salvio,7/13/1990,27,9,0,Benfica,1,Argentina18DF33067
Argentina,D,19,FW,Sergio Agüero,6/2/1988,30,85,37,Manchester City,1,Argentina19FW32296
Argentina,D,20,MF,Giovani Lo Celso,4/9/1996,22,5,0,Paris Saint-Germain,1,Argentina20MF35164
Argentina,D,21,FW,Paulo Dybala,11/15/1993,24,12,0,Juventus,1,Argentina21FW34288
Argentina,D,22,MF,Cristian Pavón,1/21/1996,22,5,0,Boca Juniors,1,Argentina22MF35085
Argentina,D,23,GK,Willy Caballero,9/28/1981,36,3,0,Chelsea,1,Argentina23GK29857
Croatia,D,1,GK,Dominik Livakovi?,1/9/1995,23,1,0,Dinamo Zagreb,1,Croatia1GK34708
Croatia,D,2,DF,Šime Vrsaljko,1/10/1992,26,35,0,Atlético Madrid,1,Croatia2DF33613
Croatia,D,3,DF,Ivan Strini?,7/17/1987,30,42,0,Sampdoria,1,Croatia3DF31975
Croatia,D,4,FW,Ivan Periši?,2/2/1989,29,65,17,Inter Milan,1,Croatia4FW32541
Croatia,D,5,DF,Vedran ?orluka,2/5/1986,32,98,4,Lokomotiv Moscow,1,Croatia5DF31448
Croatia,D,6,DF,Dejan Lovren,7/5/1989,28,38,2,Liverpool,1,Croatia6DF32694
Croatia,D,7,MF,Ivan Rakiti?,3/10/1988,30,91,14,Barcelona,1,Croatia7MF32212
Croatia,D,8,MF,Mateo Kova?i?,5/6/1994,24,40,1,Real Madrid,1,Croatia8MF34460
Croatia,D,9,FW,Andrej Kramari?,6/19/1991,26,30,8,1899 Hoffenheim,1,Croatia9FW33408
Croatia,D,10,MF,Luka Modri? (captain),9/9/1985,32,105,12,Real Madrid,1,Croatia10MF31299
Croatia,D,11,MF,Marcelo Brozovi?,11/16/1992,25,34,6,Inter Milan,1,Croatia11MF33924
Croatia,D,12,GK,Lovre Kalini?,4/3/1990,28,10,0,Gent,1,Croatia12GK32966
Croatia,D,13,DF,Tin Jedvaj,11/28/1995,22,11,0,Bayer Leverkusen,1,Croatia13DF35031
Croatia,D,14,MF,Filip Bradari?,1/11/1992,26,4,0,Rijeka,1,Croatia14MF33614
Croatia,D,15,DF,Duje ?aleta-Car,9/17/1996,21,1,0,Red Bull Salzburg,1,Croatia15DF35325
Croatia,D,16,FW,Nikola Kalini?,1/5/1988,30,41,15,Milan,1,Croatia16FW32147
Croatia,D,17,FW,Mario Mandžuki?,5/21/1986,32,82,30,Juventus,1,Croatia17FW31553
Croatia,D,18,FW,Ante Rebi?,9/21/1993,24,15,1,Eintracht Frankfurt,1,Croatia18FW34233
Croatia,D,19,MF,Milan Badelj,2/25/1989,29,37,1,Fiorentina,1,Croatia19MF32564
Croatia,D,20,FW,Marko Pjaca,5/6/1995,23,16,1,Schalke 04,1,Croatia20FW34825
Croatia,D,21,DF,Domagoj Vida,4/29/1989,29,58,2,Be?ikta?,1,Croatia21DF32627
Croatia,D,22,DF,Josip Pivari?,1/30/1989,29,19,0,Dynamo Kyiv,1,Croatia22DF32538
Croatia,D,23,GK,Danijel Subaši?,10/27/1984,33,37,0,Monaco,1,Croatia23GK30982
Iceland,D,1,GK,Hannes Þór Halldórsson,4/27/1984,34,48,0,Randers,1,Iceland1GK30799
Iceland,D,2,DF,Birkir Már Sævarsson,11/11/1984,33,79,1,Valur,1,Iceland2DF30997
Iceland,D,3,MF,Samúel Friðjónsson,2/22/1996,22,4,0,Vålerenga,1,Iceland3MF35117
Iceland,D,4,MF,Albert Guðmundsson,6/15/1997,20,5,3,PSV Eindhoven,1,Iceland4MF35596
Iceland,D,5,DF,Sverrir Ingi Ingason,8/5/1993,24,19,3,Rostov,1,Iceland5DF34186
Iceland,D,6,DF,Ragnar Sigurðsson,6/19/1986,31,76,3,Rostov,1,Iceland6DF31582
Iceland,D,7,MF,Jóhann Berg Guðmundsson,10/27/1990,27,66,7,Burnley,1,Iceland7MF33173
Iceland,D,8,MF,Birkir Bjarnason,5/27/1988,30,66,9,Aston Villa,1,Iceland8MF32290
Iceland,D,9,FW,Björn Bergmann Sigurðarson,2/26/1991,27,11,1,Rostov,1,Iceland9FW33295
Iceland,D,10,MF,Gylfi Sigurðsson,9/8/1989,28,56,19,Everton,1,Iceland10MF32759
Iceland,D,11,FW,Alfreð Finnbogason,2/1/1989,29,46,12,FC Augsburg,1,Iceland11FW32540
Iceland,D,12,GK,Frederik Schram,1/19/1995,23,4,0,Roskilde,1,Iceland12GK34718
Iceland,D,13,GK,Rúnar Alex Rúnarsson,2/18/1995,23,3,0,Nordsjælland,1,Iceland13GK34748
Iceland,D,14,DF,Kári Árnason,10/13/1982,35,66,4,Aberdeen,1,Iceland14DF30237
Iceland,D,15,DF,Hólmar Örn Eyjólfsson,8/6/1990,27,9,1,Levski Sofia,1,Iceland15DF33091
Iceland,D,16,MF,Ólafur Ingi Skúlason,4/1/1983,35,35,1,Kardemir Karabükspor,1,Iceland16MF30407
Iceland,D,17,MF,Aron Gunnarsson (captain),4/22/1989,29,77,2,Cardiff City,1,Iceland17MF32620
Iceland,D,18,DF,Hörður Björgvin Magnússon,2/11/1993,25,16,2,Bristol City,1,Iceland18DF34011
Iceland,D,19,MF,Rúrik Gíslason,2/25/1988,30,46,3,SV Sandhausen,1,Iceland19MF32198
Iceland,D,20,MF,Emil Hallfreðsson,6/29/1984,33,63,1,Udinese,1,Iceland20MF30862
Iceland,D,21,MF,Arnór Ingvi Traustason,4/30/1993,25,18,5,Malmö,1,Iceland21MF34089
Iceland,D,22,FW,Jón Daði Böðvarsson,5/25/1992,26,37,2,Reading,1,Iceland22FW33749
Iceland,D,23,DF,Ari Freyr Skúlason,5/14/1987,31,55,0,Lokeren,1,Iceland23DF31911
Nigeria,D,1,GK,Ikechukwu Ezenwa,10/16/1988,29,24,0,Enyimba,1,Nigeria1GK32432
Nigeria,D,2,DF,Brian Idowu,5/18/1992,26,4,1,Amkar Perm,1,Nigeria2DF33742
Nigeria,D,3,DF,Elderson Echiéjilé,1/20/1988,30,61,3,Cercle Brugge,1,Nigeria3DF32162
Nigeria,D,4,MF,Wilfred Ndidi,12/16/1996,21,16,0,Leicester City,1,Nigeria4MF35415
Nigeria,D,5,DF,William Troost-Ekong,9/1/1993,24,21,1,Bursaspor,1,Nigeria5DF34213
Nigeria,D,6,DF,Leon Balogun,6/28/1988,29,18,0,Mainz 05,1,Nigeria6DF32322
Nigeria,D,7,FW,Ahmed Musa,10/14/1992,25,71,13,CSKA Moscow,1,Nigeria7FW33891
Nigeria,D,8,MF,Oghenekaro Etebo,11/9/1995,22,14,1,Las Palmas,1,Nigeria8MF35012
Nigeria,D,9,FW,Odion Ighalo,6/16/1989,28,18,4,Changchun Yatai,1,Nigeria9FW32675
Nigeria,D,10,MF,John Obi Mikel (captain),4/22/1987,31,84,6,Tianjin TEDA,1,Nigeria10MF31889
Nigeria,D,11,FW,Victor Moses,12/12/1990,27,33,11,Chelsea,1,Nigeria11FW33219
Nigeria,D,12,DF,Shehu Abdullahi,3/12/1993,25,24,0,Bursaspor,1,Nigeria12DF34040
Nigeria,D,13,FW,Simeon Nwankwo,5/7/1992,26,1,0,Crotone,1,Nigeria13FW33731
Nigeria,D,14,FW,Kelechi Iheanacho,3/10/1996,22,17,8,Leicester City,1,Nigeria14FW35134
Nigeria,D,15,MF,Joel Obi,5/22/1991,27,17,0,Torino,1,Nigeria15MF33380
Nigeria,D,16,GK,Daniel Akpeyi,3/8/1986,32,7,0,Chippa United,1,Nigeria16GK31479
Nigeria,D,17,MF,Ogenyi Onazi,12/25/1992,25,52,1,Trabzonspor,1,Nigeria17MF33963
Nigeria,D,18,FW,Alex Iwobi,5/3/1996,22,18,5,Arsenal,1,Nigeria18FW35188
Nigeria,D,19,MF,John Ogu,4/20/1988,30,19,2,Hapoel Be'er Sheva,1,Nigeria19MF32253
Nigeria,D,20,DF,Chidozie Awaziem,1/1/1997,21,4,0,Nantes,1,Nigeria20DF35431
Nigeria,D,21,DF,Tyronne Ebuehi,12/16/1995,22,6,0,ADO Den Haag,1,Nigeria21DF35049
Nigeria,D,22,DF,Kenneth Omeruo,10/17/1993,24,39,0,Kas?mpa?a,1,Nigeria22DF34259
Nigeria,D,23,GK,Francis Uzoho,10/28/1998,19,5,0,Deportivo La Coruña,1,Nigeria23GK36096
Brazil,E,1,GK,Alisson,10/2/1992,25,25,0,Roma,1,Brazil1GK33879
Brazil,E,2,DF,Thiago Silva,9/22/1984,33,70,5,Paris Saint-Germain,1,Brazil2DF30947
Brazil,E,3,DF,Miranda,9/7/1984,33,46,2,Inter Milan,1,Brazil3DF30932
Brazil,E,4,DF,Pedro Geromel,9/21/1985,32,2,0,Grêmio,1,Brazil4DF31311
Brazil,E,5,MF,Casemiro,2/23/1992,26,23,0,Real Madrid,1,Brazil5MF33657
Brazil,E,6,DF,Filipe Luís,8/9/1985,32,32,2,Atlético Madrid,1,Brazil6DF31268
Brazil,E,7,FW,Douglas Costa,9/14/1990,27,24,3,Juventus,1,Brazil7FW33130
Brazil,E,8,MF,Renato Augusto,2/8/1988,30,28,5,Beijing Sinobo Guoan,1,Brazil8MF32181
Brazil,E,9,FW,Gabriel Jesus,4/3/1997,21,16,9,Manchester City,1,Brazil9FW35523
Brazil,E,10,FW,Neymar,2/5/1992,26,84,54,Paris Saint-Germain,1,Brazil10FW33639
Brazil,E,11,MF,Philippe Coutinho,6/12/1992,25,36,9,Barcelona,1,Brazil11MF33767
Brazil,E,12,DF,Marcelo,5/12/1988,30,53,6,Real Madrid,1,Brazil12DF32275
Brazil,E,13,DF,Marquinhos,5/14/1994,24,25,0,Paris Saint-Germain,1,Brazil13DF34468
Brazil,E,14,DF,Danilo,7/15/1991,26,17,0,Manchester City,1,Brazil14DF33434
Brazil,E,15,MF,Paulinho,7/25/1988,29,49,12,Barcelona,1,Brazil15MF32349
Brazil,E,16,GK,Cássio,6/6/1987,30,1,0,Corinthians,1,Brazil16GK31934
Brazil,E,17,MF,Fernandinho,5/4/1985,33,43,2,Manchester City,1,Brazil17MF31171
Brazil,E,18,MF,Fred,3/5/1993,25,8,0,Shakhtar Donetsk,1,Brazil18MF34033
Brazil,E,19,MF,Willian,8/9/1988,29,56,8,Chelsea,1,Brazil19MF32364
Brazil,E,20,FW,Roberto Firmino,10/2/1991,26,20,6,Liverpool,1,Brazil20FW33513
Brazil,E,21,FW,Taison,1/13/1988,30,7,1,Shakhtar Donetsk,1,Brazil21FW32155
Brazil,E,22,DF,Fagner,6/11/1989,28,4,0,Corinthians,1,Brazil22DF32670
Brazil,E,23,GK,Ederson,8/17/1993,24,1,0,Manchester City,1,Brazil23GK34198
Costa Rica,E,1,GK,Keylor Navas,12/15/1986,31,79,0,Real Madrid,1,Costa Rica1GK31761
Costa Rica,E,2,DF,Johnny Acosta,7/21/1983,34,68,2,Águilas Doradas,1,Costa Rica2DF30518
Costa Rica,E,3,DF,Giancarlo González,2/8/1988,30,68,2,Bologna,1,Costa Rica3DF32181
Costa Rica,E,4,DF,Ian Smith,3/6/1998,20,2,0,Norrköping,1,Costa Rica4DF35860
Costa Rica,E,5,MF,Celso Borges,5/27/1988,30,111,21,Deportivo La Coruña,1,Costa Rica5MF32290
Costa Rica,E,6,DF,Óscar Duarte,6/3/1989,29,38,2,Espanyol,1,Costa Rica6DF32662
Costa Rica,E,7,MF,Christian Bolaños,5/17/1984,34,79,6,Saprissa,1,Costa Rica7MF30819
Costa Rica,E,8,DF,Bryan Oviedo,2/18/1990,28,42,1,Sunderland,1,Costa Rica8DF32922
Costa Rica,E,9,MF,Daniel Colindres,1/10/1985,33,11,0,Saprissa,1,Costa Rica9MF31057
Costa Rica,E,10,MF,Bryan Ruiz (captain),8/18/1985,32,109,23,Sporting CP,1,Costa Rica10MF31277
Costa Rica,E,11,FW,Johan Venegas,11/27/1988,29,45,10,Saprissa,1,Costa Rica11FW32474
Costa Rica,E,12,FW,Joel Campbell,6/26/1992,25,75,15,Real Betis,1,Costa Rica12FW33781
Costa Rica,E,13,MF,Rodney Wallace,6/17/1988,29,30,4,New York City FC,1,Costa Rica13MF32311
Costa Rica,E,14,MF,Randall Azofeifa,12/30/1984,33,57,3,Herediano,1,Costa Rica14MF31046
Costa Rica,E,15,DF,Francisco Calvo,7/8/1992,25,36,4,Minnesota United,1,Costa Rica15DF33793
Costa Rica,E,16,DF,Cristian Gamboa,10/24/1989,28,66,3,Celtic,1,Costa Rica16DF32805
Costa Rica,E,17,MF,Yeltsin Tejeda,3/17/1992,26,49,0,Lausanne,1,Costa Rica17MF33680
Costa Rica,E,18,GK,Patrick Pemberton,4/24/1982,36,39,0,Alajuelense,1,Costa Rica18GK30065
Costa Rica,E,19,DF,Kendall Waston,1/1/1988,30,25,3,Vancouver Whitecaps FC,1,Costa Rica19DF32143
Costa Rica,E,20,MF,David Guzmán,2/18/1990,28,41,0,Portland Timbers,1,Costa Rica20MF32922
Costa Rica,E,21,FW,Marco Ureña,3/5/1990,28,62,15,Los Angeles FC,1,Costa Rica21FW32937
Costa Rica,E,22,DF,Rónald Matarrita,7/9/1994,23,22,2,New York City FC,1,Costa Rica22DF34524
Costa Rica,E,23,GK,Leonel Moreira,4/2/1990,28,9,0,Herediano,1,Costa Rica23GK32965
Serbia,E,1,GK,Vladimir Stojkovi?,7/28/1983,34,80,0,Partizan,1,Serbia1GK30525
Serbia,E,2,DF,Antonio Rukavina,1/26/1984,34,46,0,Villarreal,1,Serbia2DF30707
Serbia,E,3,DF,Duško Toši?,1/19/1985,33,23,1,Be?ikta?,1,Serbia3DF31066
Serbia,E,4,MF,Luka Milivojevi?,4/7/1991,27,27,1,Crystal Palace,1,Serbia4MF33335
Serbia,E,5,DF,Uroš Spaji?,2/13/1993,25,5,0,Anderlecht,1,Serbia5DF34013
Serbia,E,6,DF,Branislav Ivanovi?,2/22/1984,34,102,12,Zenit Saint Petersburg,1,Serbia6DF30734
Serbia,E,7,MF,Andrija Živkovi?,7/11/1996,21,10,0,Benfica,1,Serbia7MF35257
Serbia,E,8,FW,Aleksandar Prijovi?,4/21/1990,28,8,1,PAOK,1,Serbia8FW32984
Serbia,E,9,FW,Aleksandar Mitrovi?,9/16/1994,23,36,13,Fulham,1,Serbia9FW34593
Serbia,E,10,MF,Dušan Tadi?,11/20/1988,29,52,13,Southampton,1,Serbia10MF32467
Serbia,E,11,DF,Aleksandar Kolarov (captain),11/10/1985,32,75,10,Roma,1,Serbia11DF31361
Serbia,E,12,GK,Predrag Rajkovi?,10/31/1995,22,7,0,Maccabi Tel Aviv,1,Serbia12GK35003
Serbia,E,13,DF,Miloš Veljkovi?,9/26/1995,22,2,0,Werder Bremen,1,Serbia13DF34968
Serbia,E,14,DF,Milan Rodi?,4/2/1991,27,1,0,Red Star Belgrade,1,Serbia14DF33330
Serbia,E,15,DF,Nikola Milenkovi?,10/12/1997,20,2,0,Fiorentina,1,Serbia15DF35715
Serbia,E,16,MF,Marko Gruji?,4/13/1996,22,7,0,Cardiff City,1,Serbia16MF35168
Serbia,E,17,MF,Filip Kosti?,11/1/1992,25,22,2,Hamburger SV,1,Serbia17MF33909
Serbia,E,18,FW,Nemanja Radonji?,2/15/1996,22,2,0,Red Star Belgrade,1,Serbia18FW35110
Serbia,E,19,FW,Luka Jovi?,12/23/1997,20,1,0,Eintracht Frankfurt,1,Serbia19FW35787
Serbia,E,20,MF,Sergej Milinkovi?-Savi?,2/27/1995,23,3,0,Lazio,1,Serbia20MF34757
Serbia,E,21,MF,Nemanja Mati?,8/1/1988,29,39,2,Manchester United,1,Serbia21MF32356
Serbia,E,22,MF,Adem Ljaji?,9/29/1991,26,28,5,Torino,1,Serbia22MF33510
Serbia,E,23,GK,Marko Dmitrovi?,1/24/1992,26,2,0,Eibar,1,Serbia23GK33627
Switzerland,E,1,GK,Yann Sommer,12/17/1988,29,35,0,Borussia Mönchengladbach,1,Switzerland1GK32494
Switzerland,E,2,DF,Stephan Lichtsteiner (captain),1/16/1984,34,99,8,Juventus,1,Switzerland2DF30697
Switzerland,E,3,DF,François Moubandje,6/21/1990,27,17,0,Toulouse,1,Switzerland3DF33045
Switzerland,E,4,DF,Nico Elvedi,9/30/1996,21,5,0,Borussia Mönchengladbach,1,Switzerland4DF35338
Switzerland,E,5,DF,Manuel Akanji,7/19/1995,22,6,0,Borussia Dortmund,1,Switzerland5DF34899
Switzerland,E,6,DF,Michael Lang,2/8/1991,27,24,2,Basel,1,Switzerland6DF33277
Switzerland,E,7,FW,Breel Embolo,2/14/1997,21,24,3,Schalke 04,1,Switzerland7FW35475
Switzerland,E,8,MF,Remo Freuler,4/15/1992,26,9,0,Atalanta,1,Switzerland8MF33709
Switzerland,E,9,FW,Haris Seferovi?,2/22/1992,26,50,11,Benfica,1,Switzerland9FW33656
Switzerland,E,10,MF,Granit Xhaka,9/27/1992,25,61,9,Arsenal,1,Switzerland10MF33874
Switzerland,E,11,MF,Valon Behrami,4/19/1985,33,78,2,Udinese,1,Switzerland11MF31156
Switzerland,E,12,GK,Yvon Mvogo,6/6/1994,23,0,0,RB Leipzig,1,Switzerland12GK34491
Switzerland,E,13,DF,Ricardo Rodríguez,8/25/1992,25,52,4,Milan,1,Switzerland13DF33841
Switzerland,E,14,MF,Steven Zuber,8/17/1991,26,11,3,1899 Hoffenheim,1,Switzerland14MF33467
Switzerland,E,15,MF,Blerim Džemaili,4/12/1986,32,64,9,Bologna,1,Switzerland15MF31514
Switzerland,E,16,MF,Gelson Fernandes,9/2/1986,31,67,2,Eintracht Frankfurt,1,Switzerland16MF31657
Switzerland,E,17,MF,Denis Zakaria,11/20/1996,21,10,0,Borussia Mönchengladbach,1,Switzerland17MF35389
Switzerland,E,18,FW,Mario Gavranovi?,11/24/1989,28,13,5,Dinamo Zagreb,1,Switzerland18FW32836
Switzerland,E,19,FW,Josip Drmi?,8/8/1992,25,28,9,Borussia Mönchengladbach,1,Switzerland19FW33824
Switzerland,E,20,DF,Johan Djourou,1/18/1987,31,74,2,Antalyaspor,1,Switzerland20DF31795
Switzerland,E,21,GK,Roman Bürki,11/14/1990,27,8,0,Borussia Dortmund,1,Switzerland21GK33191
Switzerland,E,22,DF,Fabian Schär,12/20/1991,26,38,7,Deportivo La Coruña,1,Switzerland22DF33592
Switzerland,E,23,MF,Xherdan Shaqiri,10/10/1991,26,69,20,Stoke City,1,Switzerland23MF33521
Germany,F,1,GK,Manuel Neuer (captain),3/27/1986,32,75,0,Bayern Munich,1,Germany1GK31498
Germany,F,2,DF,Marvin Plattenhardt,1/26/1992,26,6,0,Hertha BSC,1,Germany2DF33629
Germany,F,3,DF,Jonas Hector,5/27/1990,28,37,3,1. FC Köln,1,Germany3DF33020
Germany,F,4,DF,Matthias Ginter,1/19/1994,24,17,0,Borussia Mönchengladbach,1,Germany4DF34353
Germany,F,5,DF,Mats Hummels,12/16/1988,29,63,5,Bayern Munich,1,Germany5DF32493
Germany,F,6,MF,Sami Khedira,4/4/1987,31,74,7,Juventus,1,Germany6MF31871
Germany,F,7,MF,Julian Draxler,9/20/1993,24,43,6,Paris Saint-Germain,1,Germany7MF34232
Germany,F,8,MF,Toni Kroos,1/4/1990,28,82,12,Real Madrid,1,Germany8MF32877
Germany,F,9,FW,Timo Werner,3/6/1996,22,13,7,RB Leipzig,1,Germany9FW35130
Germany,F,10,MF,Mesut Özil,10/15/1988,29,90,23,Arsenal,1,Germany10MF32431
Germany,F,11,FW,Marco Reus,5/31/1989,29,30,9,Borussia Dortmund,1,Germany11FW32659
Germany,F,12,GK,Kevin Trapp,7/8/1990,27,3,0,Paris Saint-Germain,1,Germany12GK33062
Germany,F,13,MF,Thomas Müller,9/13/1989,28,90,38,Bayern Munich,1,Germany13MF32764
Germany,F,14,MF,Leon Goretzka,2/6/1995,23,15,6,Schalke 04,1,Germany14MF34736
Germany,F,15,DF,Niklas Süle,9/3/1995,22,10,0,Bayern Munich,1,Germany15DF34945
Germany,F,16,DF,Antonio Rüdiger,3/3/1993,25,24,1,Chelsea,1,Germany16DF34031
Germany,F,17,DF,Jérôme Boateng,9/3/1988,29,70,1,Bayern Munich,1,Germany17DF32389
Germany,F,18,DF,Joshua Kimmich,2/8/1995,23,28,3,Bayern Munich,1,Germany18DF34738
Germany,F,19,MF,Sebastian Rudy,2/28/1990,28,25,1,Bayern Munich,1,Germany19MF32932
Germany,F,20,MF,Julian Brandt,5/2/1996,22,15,1,Bayer Leverkusen,1,Germany20MF35187
Germany,F,21,MF,?lkay Gündo?an,10/24/1990,27,25,4,Manchester City,1,Germany21MF33170
Germany,F,22,GK,Marc-André ter Stegen,4/30/1992,26,19,0,Barcelona,1,Germany22GK33724
Germany,F,23,FW,Mario Gómez,7/10/1985,32,74,31,VfB Stuttgart,1,Germany23FW31238
Mexico,F,1,GK,José de Jesús Corona,1/26/1981,37,52,0,Cruz Azul,1,Mexico1GK29612
Mexico,F,2,DF,Hugo Ayala,3/31/1987,31,42,1,UANL,1,Mexico2DF31867
Mexico,F,3,DF,Carlos Salcedo,9/29/1993,24,20,0,Eintracht Frankfurt,1,Mexico3DF34241
Mexico,F,4,DF,Rafael Márquez,2/13/1979,39,144,18,Atlas,1,Mexico4DF28899
Mexico,F,5,DF,Diego Reyes,9/19/1992,25,55,1,Porto,1,Mexico5DF33866
Mexico,F,6,MF,Jonathan dos Santos,4/26/1990,28,31,0,LA Galaxy,1,Mexico6MF32989
Mexico,F,7,MF,Miguel Layún,6/25/1988,29,63,6,Sevilla,1,Mexico7MF32319
