Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count,Index Field
Mexico,F,8,FW,Marco Fabián,7/21/1989,28,38,9,Eintracht Frankfurt,1,Mexico8FW32710
Mexico,F,9,FW,Raúl Jiménez,5/5/1991,27,63,13,Benfica,1,Mexico9FW33363
Mexico,F,10,MF,Giovani dos Santos,5/11/1989,29,104,19,LA Galaxy,1,Mexico10MF32639
Mexico,F,11,FW,Carlos Vela,3/1/1989,29,68,18,Los Angeles FC,1,Mexico11FW32568
Mexico,F,12,GK,Alfredo Talavera,9/18/1982,35,27,0,Toluca,1,Mexico12GK30212
Mexico,F,13,GK,Guillermo Ochoa,7/13/1985,32,93,0,Standard Liège,1,Mexico13GK31241
Mexico,F,14,FW,Javier Hernández,6/1/1988,30,101,49,West Ham United,1,Mexico14FW32295
Mexico,F,15,DF,Héctor Moreno,1/17/1988,30,91,3,Real Sociedad,1,Mexico15DF32159
Mexico,F,16,DF,Héctor Herrera,4/19/1990,28,65,5,Porto,1,Mexico16DF32982
Mexico,F,17,MF,Jesús Manuel Corona,1/6/1993,25,35,7,Porto,1,Mexico17MF33975
Mexico,F,18,MF,Andrés Guardado (captain),9/28/1986,31,144,25,Real Betis,1,Mexico18MF31683
Mexico,F,19,FW,Oribe Peralta,1/12/1984,34,66,26,América,1,Mexico19FW30693
Mexico,F,20,MF,Javier Aquino,2/11/1990,28,53,0,UANL,1,Mexico20MF32915
Mexico,F,21,DF,Edson Álvarez,10/24/1997,20,12,1,América,1,Mexico21DF35727
Mexico,F,22,FW,Hirving Lozano,7/30/1995,22,27,7,PSV Eindhoven,1,Mexico22FW34910
Mexico,F,23,MF,Jesús Gallardo,8/15/1994,23,22,0,UNAM,1,Mexico23MF34561
South Korea,F,1,GK,Kim Seung-gyu,9/30/1990,27,32,0,Vissel Kobe,1,South Korea1GK33146
South Korea,F,2,DF,Lee Yong,12/24/1986,31,26,0,Jeonbuk Hyundai Motors,1,South Korea2DF31770
South Korea,F,3,DF,Jung Seung-hyun,4/3/1994,24,6,0,Sagan Tosu,1,South Korea3DF34427
South Korea,F,4,DF,Oh Ban-suk,5/20/1988,30,2,0,Jeju United,1,South Korea4DF32283
South Korea,F,5,DF,Yun Young-sun,10/4/1988,29,5,0,Seongnam FC,1,South Korea5DF32420
South Korea,F,6,DF,Park Joo-ho,1/16/1987,31,35,0,Ulsan Hyundai,1,South Korea6DF31793
South Korea,F,7,FW,Son Heung-min,7/8/1992,25,65,21,Tottenham Hotspur,1,South Korea7FW33793
South Korea,F,8,MF,Ju Se-jong,10/30/1990,27,10,1,Asan Mugunghwa,1,South Korea8MF33176
South Korea,F,9,FW,Kim Shin-wook,4/14/1988,30,48,10,Jeonbuk Hyundai Motors,1,South Korea9FW32247
South Korea,F,10,MF,Lee Seung-woo,1/6/1998,20,2,0,Hellas Verona,1,South Korea10MF35801
South Korea,F,11,FW,Hwang Hee-chan,1/26/1996,22,13,2,Red Bull Salzburg,1,South Korea11FW35090
South Korea,F,12,DF,Kim Min-woo,2/25/1990,28,18,1,Sangju Sangmu,1,South Korea12DF32929
South Korea,F,13,MF,Koo Ja-cheol,2/27/1989,29,66,19,FC Augsburg,1,South Korea13MF32566
South Korea,F,14,DF,Hong Chul,9/17/1990,27,14,0,Sangju Sangmu,1,South Korea14DF33133
South Korea,F,15,MF,Jung Woo-young,12/14/1989,28,28,1,Vissel Kobe,1,South Korea15MF32856
South Korea,F,16,MF,Ki Sung-yueng (captain),1/24/1989,29,100,10,Swansea City,1,South Korea16MF32532
South Korea,F,17,MF,Lee Jae-sung,8/10/1992,25,33,6,Jeonbuk Hyundai Motors,1,South Korea17MF33826
South Korea,F,18,MF,Moon Seon-min,6/9/1992,25,2,1,Incheon United,1,South Korea18MF33764
South Korea,F,19,DF,Kim Young-gwon,2/27/1990,28,51,2,Guangzhou Evergrande,1,South Korea19DF32931
South Korea,F,20,DF,Jang Hyun-soo,9/28/1991,26,49,3,FC Tokyo,1,South Korea20DF33509
South Korea,F,21,GK,Kim Jin-hyeon,7/6/1987,30,14,0,Cerezo Osaka,1,South Korea21GK31964
South Korea,F,22,DF,Go Yo-han,3/10/1988,30,19,0,FC Seoul,1,South Korea22DF32212
South Korea,F,23,GK,Cho Hyun-woo,9/25/1991,26,5,0,Daegu FC,1,South Korea23GK33506
Sweden,F,1,GK,Robin Olsen,1/8/1990,28,17,0,Copenhagen,1,Sweden1GK32881
Sweden,F,2,DF,Mikael Lustig,12/13/1986,31,65,6,Celtic,1,Sweden2DF31759
Sweden,F,3,DF,Victor Lindelöf,7/17/1994,23,20,1,Manchester United,1,Sweden3DF34532
Sweden,F,4,DF,Andreas Granqvist (captain),4/16/1985,33,71,6,Krasnodar,1,Sweden4DF31153
Sweden,F,5,DF,Martin Olsson,5/17/1988,30,43,5,Swansea City,1,Sweden5DF32280
Sweden,F,6,DF,Ludwig Augustinsson,4/21/1994,24,14,0,Werder Bremen,1,Sweden6DF34445
Sweden,F,7,MF,Sebastian Larsson,6/6/1985,32,99,6,Hull City,1,Sweden7MF31204
Sweden,F,8,MF,Albin Ekdal,7/28/1989,28,33,0,Hamburger SV,1,Sweden8MF32717
Sweden,F,9,FW,Marcus Berg,8/17/1986,31,56,18,Al Ain,1,Sweden9FW31641
Sweden,F,10,MF,Emil Forsberg,10/23/1991,26,35,6,RB Leipzig,1,Sweden10MF33534
Sweden,F,11,FW,John Guidetti,4/15/1992,26,20,1,Alavés,1,Sweden11FW33709
Sweden,F,12,GK,Karl-Johan Johnsson,1/28/1990,28,5,0,Guingamp,1,Sweden12GK32901
Sweden,F,13,MF,Gustav Svensson,2/7/1987,31,12,0,Seattle Sounders FC,1,Sweden13MF31815
Sweden,F,14,DF,Filip Helander,4/22/1993,25,4,0,Bologna,1,Sweden14DF34081
Sweden,F,15,MF,Oscar Hiljemark,6/28/1992,25,21,2,Genoa,1,Sweden15MF33783
Sweden,F,16,DF,Emil Krafth,8/2/1994,23,12,0,Bologna,1,Sweden16DF34548
Sweden,F,17,MF,Viktor Claesson,1/2/1992,26,21,3,Krasnodar,1,Sweden17MF33605
Sweden,F,18,DF,Pontus Jansson,2/13/1991,27,15,0,Leeds United,1,Sweden18DF33282
Sweden,F,19,MF,Marcus Rohdén,5/11/1991,27,11,1,Crotone,1,Sweden19MF33369
Sweden,F,20,FW,Ola Toivonen,7/3/1986,31,58,13,Toulouse,1,Sweden20FW31596
Sweden,F,21,MF,Jimmy Durmaz,3/22/1989,29,45,3,Toulouse,1,Sweden21MF32589
Sweden,F,22,FW,Isaac Kiese Thelin,6/24/1992,25,19,2,Waasland-Beveren,1,Sweden22FW33779
Sweden,F,23,GK,Kristoffer Nordfeldt,6/23/1989,28,8,0,Swansea City,1,Sweden23GK32682
Belgium,G,1,GK,Thibaut Courtois,5/11/1992,26,56,0,Chelsea,1,Belgium1GK33735
Belgium,G,2,DF,Toby Alderweireld,3/2/1989,29,72,3,Tottenham Hotspur,1,Belgium2DF32569
Belgium,G,3,DF,Thomas Vermaelen,11/14/1985,32,64,1,Barcelona,1,Belgium3DF31365
Belgium,G,4,DF,Vincent Kompany,4/10/1986,32,74,4,Manchester City,1,Belgium4DF31512
Belgium,G,5,DF,Jan Vertonghen,4/24/1987,31,100,8,Tottenham Hotspur,1,Belgium5DF31891
Belgium,G,6,MF,Axel Witsel,1/12/1989,29,85,9,Tianjin Quanjian,1,Belgium6MF32520
Belgium,G,7,MF,Kevin De Bruyne,6/28/1991,26,57,13,Manchester City,1,Belgium7MF33417
Belgium,G,8,MF,Marouane Fellaini,11/22/1987,30,79,16,Manchester United,1,Belgium8MF32103
Belgium,G,9,FW,Romelu Lukaku,5/13/1993,25,64,30,Manchester United,1,Belgium9FW34102
Belgium,G,10,FW,Eden Hazard (captain),1/7/1991,27,82,21,Chelsea,1,Belgium10FW33245
Belgium,G,11,MF,Yannick Carrasco,9/4/1993,24,23,5,Dalian Yifang,1,Belgium11MF34216
Belgium,G,12,GK,Simon Mignolet,3/6/1988,30,21,0,Liverpool,1,Belgium12GK32208
Belgium,G,13,GK,Koen Casteels,6/25/1992,25,0,0,VfL Wolfsburg,1,Belgium13GK33780
Belgium,G,14,FW,Dries Mertens,5/6/1987,31,65,13,Napoli,1,Belgium14FW31903
Belgium,G,15,DF,Thomas Meunier,9/12/1991,26,23,5,Paris Saint-Germain,1,Belgium15DF33493
Belgium,G,16,MF,Thorgan Hazard,3/29/1993,25,8,1,Borussia Mönchengladbach,1,Belgium16MF34057
Belgium,G,17,MF,Youri Tielemans,5/7/1997,21,7,0,Monaco,1,Belgium17MF35557
Belgium,G,18,FW,Adnan Januzaj,2/5/1995,23,7,0,Real Sociedad,1,Belgium18FW34735
Belgium,G,19,MF,Mousa Dembélé,7/16/1987,30,74,5,Tottenham Hotspur,1,Belgium19MF31974
Belgium,G,20,DF,Dedryck Boyata,11/28/1990,27,5,0,Celtic,1,Belgium20DF33205
Belgium,G,21,FW,Michy Batshuayi,10/2/1993,24,13,5,Borussia Dortmund,1,Belgium21FW34244
Belgium,G,22,MF,Nacer Chadli,8/2/1989,28,41,4,West Bromwich Albion,1,Belgium22MF32722
Belgium,G,23,DF,Leander Dendoncker,4/15/1995,23,4,0,Anderlecht,1,Belgium23DF34804
England,G,1,GK,Jordan Pickford,3/7/1994,24,3,0,Everton,1,England1GK34400
England,G,2,DF,Kyle Walker,5/28/1990,28,35,0,Manchester City,1,England2DF33021
England,G,3,DF,Danny Rose,7/2/1990,27,17,0,Tottenham Hotspur,1,England3DF33056
England,G,4,MF,Eric Dier,1/15/1994,24,26,3,Tottenham Hotspur,1,England4MF34349
England,G,5,DF,John Stones,5/28/1994,24,25,0,Manchester City,1,England5DF34482
England,G,6,DF,Harry Maguire,3/5/1993,25,4,0,Leicester City,1,England6DF34033
England,G,7,MF,Jesse Lingard,12/15/1992,25,11,1,Manchester United,1,England7MF33953
England,G,8,MF,Jordan Henderson,6/17/1990,27,38,0,Liverpool,1,England8MF33041
England,G,9,FW,Harry Kane (captain),7/28/1993,24,24,13,Tottenham Hotspur,1,England9FW34178
England,G,10,FW,Raheem Sterling,12/8/1994,23,38,2,Manchester City,1,England10FW34676
England,G,11,FW,Jamie Vardy,1/11/1987,31,21,7,Leicester City,1,England11FW31788
England,G,12,DF,Kieran Trippier,9/19/1990,27,6,0,Tottenham Hotspur,1,England12DF33135
England,G,13,GK,Jack Butland,3/10/1993,25,7,0,Stoke City,1,England13GK34038
England,G,14,FW,Danny Welbeck,11/26/1990,27,38,15,Arsenal,1,England14FW33203
England,G,15,DF,Gary Cahill,12/19/1985,32,59,5,Chelsea,1,England15DF31400
England,G,16,DF,Phil Jones,2/21/1992,26,24,0,Manchester United,1,England16DF33655
England,G,17,DF,Fabian Delph,11/21/1989,28,10,0,Manchester City,1,England17DF32833
England,G,18,DF,Ashley Young,7/9/1985,32,34,7,Manchester United,1,England18DF31237
England,G,19,FW,Marcus Rashford,10/31/1997,20,18,2,Manchester United,1,England19FW35734
England,G,20,MF,Dele Alli,4/11/1996,22,24,2,Tottenham Hotspur,1,England20MF35166
England,G,21,MF,Ruben Loftus-Cheek,1/23/1996,22,3,0,Crystal Palace,1,England21MF35087
England,G,22,DF,Trent Alexander-Arnold,10/7/1998,19,0,0,Liverpool,1,England22DF36075
England,G,23,GK,Nick Pope,4/19/1992,26,0,0,Burnley,1,England23GK33713
Panama,G,1,GK,Jaime Penedo,9/26/1981,36,130,0,Dinamo Bucure?ti,1,Panama1GK29855
Panama,G,2,DF,Michael Amir Murillo,2/11/1996,22,21,2,New York Red Bulls,1,Panama2DF35106
Panama,G,3,DF,Harold Cummings,3/1/1992,26,51,0,San Jose Earthquakes,1,Panama3DF33664
Panama,G,4,DF,Fidel Escobar,1/9/1995,23,22,1,New York Red Bulls,1,Panama4DF34708
Panama,G,5,DF,Román Torres,3/20/1986,32,110,10,Seattle Sounders FC,1,Panama5DF31491
Panama,G,6,MF,Gabriel Gómez,5/29/1984,34,143,12,Atlético Bucaramanga,1,Panama6MF30831
Panama,G,7,FW,Blas Pérez,3/13/1981,37,117,43,Municipal,1,Panama7FW29658
Panama,G,8,MF,Édgar Bárcenas,10/23/1993,24,28,0,Tapachula,1,Panama8MF34265
Panama,G,9,FW,Gabriel Torres,10/31/1988,29,71,14,Huachipato,1,Panama9FW32447
Panama,G,10,FW,Ismael Díaz,5/12/1997,21,10,2,Deportivo Fabril,1,Panama10FW35562
Panama,G,11,MF,Armando Cooper,11/26/1987,30,97,7,Universidad de Chile,1,Panama11MF32107
Panama,G,12,GK,José Calderón,8/14/1985,32,31,0,Chorrillo,1,Panama12GK31273
Panama,G,13,DF,Adolfo Machado,2/14/1985,33,75,1,Houston Dynamo,1,Panama13DF31092
Panama,G,14,MF,Valentín Pimentel,5/30/1991,27,22,1,Plaza Amador,1,Panama14MF33388
Panama,G,15,DF,Erick Davis,3/31/1991,27,37,0,Dunajská Streda,1,Panama15DF33328
Panama,G,16,FW,Abdiel Arroyo,12/13/1993,24,33,5,Alajuelense,1,Panama16FW34316
Panama,G,17,DF,Luis Ovalle,9/7/1988,29,25,0,Olimpia,1,Panama17DF32393
Panama,G,18,FW,Luis Tejada,3/28/1982,36,105,43,Sport Boys,1,Panama18FW30038
Panama,G,19,MF,Alberto Quintero,12/18/1987,30,89,5,Universitario,1,Panama19MF32129
Panama,G,20,MF,Aníbal Godoy,2/10/1990,28,88,2,San Jose Earthquakes,1,Panama20MF32914
Panama,G,21,MF,José Luis Rodríguez,6/19/1998,19,1,0,Gent,1,Panama21MF35965
Panama,G,22,GK,Álex Rodríguez,8/5/1990,27,6,0,San Francisco,1,Panama22GK33090
Panama,G,23,DF,Felipe Baloy (captain),2/24/1981,37,102,3,Municipal,1,Panama23DF29641
Tunisia,G,1,GK,Farouk Ben Mustapha,7/1/1989,28,15,0,Al-Shabab,1,Tunisia1GK32690
Tunisia,G,2,DF,Syam Ben Youssef,3/31/1989,29,41,1,Kas?mpa?a,1,Tunisia2DF32598
Tunisia,G,3,DF,Yohan Benalouane,3/28/1987,31,3,0,Leicester City,1,Tunisia3DF31864
Tunisia,G,4,DF,Yassine Meriah,7/2/1993,24,15,1,CS Sfaxien,1,Tunisia4DF34152
Tunisia,G,5,DF,Oussama Haddadi,1/28/1992,26,8,0,Dijon,1,Tunisia5DF33631
Tunisia,G,6,DF,Rami Bedoui,1/19/1990,28,8,0,Étoile du Sahel,1,Tunisia6DF32892
Tunisia,G,7,FW,Saîf-Eddine Khaoui,4/27/1995,23,4,0,Troyes,1,Tunisia7FW34816
Tunisia,G,8,FW,Fakhreddine Ben Youssef,6/23/1991,26,38,5,Al-Ettifaq,1,Tunisia8FW33412
Tunisia,G,9,MF,Anice Badri,9/18/1990,27,6,2,Espérance,1,Tunisia9MF33134
Tunisia,G,10,FW,Wahbi Khazri,2/8/1991,27,35,12,Rennes,1,Tunisia10FW33277
Tunisia,G,11,DF,Dylan Bronn,6/19/1995,22,4,0,Gent,1,Tunisia11DF34869
Tunisia,G,12,DF,Ali Maâloul,1/1/1990,28,45,0,Al Ahly,1,Tunisia12DF32874
Tunisia,G,13,MF,Ferjani Sassi,3/18/1992,26,38,3,Al-Nassr,1,Tunisia13MF33681
Tunisia,G,14,MF,Mohamed Amine Ben Amor,5/3/1992,26,25,1,Al-Ahli,1,Tunisia14MF33727
Tunisia,G,15,FW,Ahmed Khalil,12/21/1994,23,3,0,Club Africain,1,Tunisia15FW34689
Tunisia,G,16,GK,Aymen Mathlouthi (captain),9/14/1984,33,69,0,Al-Batin,1,Tunisia16GK30939
Tunisia,G,17,MF,Ellyes Skhiri,5/10/1995,23,4,0,Montpellier,1,Tunisia17MF34829
Tunisia,G,18,FW,Bassem Srarfi,6/25/1997,20,4,0,Nice,1,Tunisia18FW35606
Tunisia,G,19,FW,Saber Khalifa,10/14/1986,31,43,7,Club Africain,1,Tunisia19FW31699
Tunisia,G,20,FW,Ghailene Chaalali,2/28/1994,24,6,1,Espérance,1,Tunisia20FW34393
Tunisia,G,21,DF,Hamdi Nagguez,10/28/1992,25,15,0,Zamalek,1,Tunisia21DF33905
Tunisia,G,22,GK,Mouez Hassen,3/5/1995,23,3,0,Châteauroux,1,Tunisia22GK34763
Tunisia,G,23,FW,Naïm Sliti,7/27/1992,25,16,3,Dijon,1,Tunisia23FW33812
Colombia,H,1,GK,David Ospina,8/31/1988,29,86,0,Arsenal,1,Colombia1GK32386
Colombia,H,2,DF,Cristián Zapata,9/30/1986,31,55,2,Milan,1,Colombia2DF31685
Colombia,H,3,DF,Óscar Murillo,4/18/1988,30,13,0,Pachuca,1,Colombia3DF32251
Colombia,H,4,DF,Santiago Arias,1/13/1992,26,41,0,PSV Eindhoven,1,Colombia4DF33616
Colombia,H,5,MF,Wílmar Barrios,10/16/1993,24,10,0,Boca Juniors,1,Colombia5MF34258
Colombia,H,6,MF,Carlos Sánchez,2/6/1986,32,85,0,Espanyol,1,Colombia6MF31449
Colombia,H,7,FW,Carlos Bacca,9/8/1986,31,45,14,Villarreal,1,Colombia7FW31663
Colombia,H,8,MF,Abel Aguilar,1/6/1985,33,70,7,Deportivo Cali,1,Colombia8MF31053
Colombia,H,9,FW,Radamel Falcao (captain),2/10/1986,32,73,29,Monaco,1,Colombia9FW31453
Colombia,H,10,MF,James Rodríguez,7/12/1991,26,63,21,Bayern Munich,1,Colombia10MF33431
Colombia,H,11,MF,Juan Cuadrado,5/26/1988,30,70,7,Juventus,1,Colombia11MF32289
Colombia,H,12,GK,Camilo Vargas,3/9/1989,29,5,0,Deportivo Cali,1,Colombia12GK32576
Colombia,H,13,DF,Yerry Mina,9/23/1994,23,12,3,Barcelona,1,Colombia13DF34600
Colombia,H,14,FW,Luis Muriel,4/16/1991,27,18,2,Sevilla,1,Colombia14FW33344
Colombia,H,15,MF,Mateus Uribe,3/21/1991,27,8,0,América,1,Colombia15MF33318
Colombia,H,16,MF,Jefferson Lerma,10/25/1994,23,5,0,Levante,1,Colombia16MF34632
Colombia,H,17,DF,Johan Mojica,8/21/1992,25,4,1,Girona,1,Colombia17DF33837
Colombia,H,18,DF,Frank Fabra,2/22/1991,27,19,1,Boca Juniors,1,Colombia18DF33291
Colombia,H,19,FW,Miguel Borja,1/26/1993,25,7,2,Palmeiras,1,Colombia19FW33995
Colombia,H,20,MF,Juan Fernando Quintero,1/18/1993,25,15,2,River Plate,1,Colombia20MF33987
Colombia,H,21,FW,José Izquierdo,7/7/1992,25,5,1,Brighton & Hove Albion,1,Colombia21FW33792
Colombia,H,22,GK,José Fernando Cuadrado,6/1/1985,33,1,0,Once Caldas,1,Colombia22GK31199
Colombia,H,23,DF,Dávinson Sánchez,6/12/1996,21,9,0,Tottenham Hotspur,1,Colombia23DF35228
Japan,H,1,GK,Eiji Kawashima,3/20/1983,35,83,0,Metz,1,Japan1GK30395
Japan,H,2,DF,Naomichi Ueda,10/24/1994,23,3,0,Kashima Antlers,1,Japan2DF34631
Japan,H,3,DF,Gen Shoji,12/11/1992,25,10,1,Kashima Antlers,1,Japan3DF33949
Japan,H,4,MF,Keisuke Honda,6/13/1986,31,94,36,Pachuca,1,Japan4MF31576
Japan,H,5,DF,Yuto Nagatomo,9/12/1986,31,104,3,Galatasaray,1,Japan5DF31667
Japan,H,6,DF,Wataru Endo,2/9/1993,25,11,0,Urawa Red Diamonds,1,Japan6DF34009
Japan,H,7,MF,Gaku Shibasaki,5/28/1992,26,16,3,Getafe,1,Japan7MF33752
Japan,H,8,MF,Genki Haraguchi,5/9/1991,27,31,6,Fortuna Düsseldorf,1,Japan8MF33367
Japan,H,9,FW,Shinji Okazaki,4/16/1986,32,112,50,Leicester City,1,Japan9FW31518
Japan,H,10,MF,Shinji Kagawa,3/17/1989,29,90,29,Borussia Dortmund,1,Japan10MF32584
Japan,H,11,MF,Takashi Usami,5/6/1992,26,22,3,Fortuna Düsseldorf,1,Japan11MF33730
Japan,H,12,GK,Masaaki Higashiguchi,5/12/1986,32,4,0,Gamba Osaka,1,Japan12GK31544
Japan,H,13,FW,Yoshinori Mut?,7/15/1992,25,22,2,Mainz 05,1,Japan13FW33800
Japan,H,14,MF,Takashi Inui,6/2/1988,30,25,2,Eibar,1,Japan14MF32296
Japan,H,15,FW,Yuya Osako,5/18/1990,28,27,7,1. FC Köln,1,Japan15FW33011
Japan,H,16,MF,Hotaru Yamaguchi,10/6/1990,27,41,2,Cerezo Osaka,1,Japan16MF33152
Japan,H,17,MF,Makoto Hasebe (captain),1/18/1984,34,109,2,Eintracht Frankfurt,1,Japan17MF30699
Japan,H,18,MF,Ryota Oshima,1/23/1993,25,4,0,Kawasaki Frontale,1,Japan18MF33992
Japan,H,19,DF,Hiroki Sakai,4/12/1990,28,41,0,Marseille,1,Japan19DF32975
Japan,H,20,DF,Tomoaki Makino,5/11/1987,31,31,4,Urawa Red Diamonds,1,Japan20DF31908
Japan,H,21,DF,G?toku Sakai,3/14/1991,27,39,0,Hamburger SV,1,Japan21DF33311
Japan,H,22,DF,Maya Yoshida,8/24/1988,29,81,10,Southampton,1,Japan22DF32379
Japan,H,23,GK,Kosuke Nakamura,2/27/1995,23,3,0,Kashiwa Reysol,1,Japan23GK34757
Poland,H,1,GK,Wojciech Szcz?sny,4/18/1990,28,33,0,Juventus,1,Poland1GK32981
Poland,H,2,DF,Micha? Pazdan,9/21/1987,30,31,0,Legia Warsaw,1,Poland2DF32041
Poland,H,3,DF,Artur J?drzejczyk,11/4/1987,30,35,3,Legia Warsaw,1,Poland3DF32085
Poland,H,4,DF,Thiago Cionek,4/21/1986,32,17,0,SPAL,1,Poland4DF31523
Poland,H,5,DF,Jan Bednarek,4/12/1996,22,1,0,Southampton,1,Poland5DF35167
Poland,H,6,MF,Jacek Góralski,9/21/1992,25,3,0,Ludogorets Razgrad,1,Poland6MF33868
Poland,H,7,FW,Arkadiusz Milik,2/28/1994,24,38,12,Napoli,1,Poland7FW34393
Poland,H,8,MF,Karol Linetty,2/2/1995,23,19,1,Sampdoria,1,Poland8MF34732
Poland,H,9,FW,Robert Lewandowski (captain),8/21/1988,29,93,52,Bayern Munich,1,Poland9FW32376
Poland,H,10,MF,Grzegorz Krychowiak,1/29/1990,28,49,2,West Bromwich Albion,1,Poland10MF32902
Poland,H,11,MF,Kamil Grosicki,6/8/1988,29,56,12,Hull City,1,Poland11MF32302
Poland,H,12,GK,Bartosz Bia?kowski,7/6/1987,30,1,0,Ipswich Town,1,Poland12GK31964
Poland,H,13,MF,Maciej Rybus,8/19/1989,28,49,2,Lokomotiv Moscow,1,Poland13MF32739
Poland,H,14,FW,?ukasz Teodorczyk,6/3/1991,27,15,4,Anderlecht,1,Poland14FW33392
Poland,H,15,DF,Kamil Glik,2/3/1988,30,57,4,Monaco,1,Poland15DF32176
Poland,H,16,MF,Jakub B?aszczykowski,12/14/1985,32,97,19,VfL Wolfsburg,1,Poland16MF31395
Poland,H,17,MF,S?awomir Peszko,2/19/1985,33,43,2,Lechia Gda?sk,1,Poland17MF31097
Poland,H,18,DF,Bartosz Bereszy?ski,7/12/1992,25,6,0,Sampdoria,1,Poland18DF33797
Poland,H,19,MF,Piotr Zieli?ski,5/20/1994,24,31,4,Napoli,1,Poland19MF34474
Poland,H,20,DF,?ukasz Piszczek,6/3/1985,33,61,3,Borussia Dortmund,1,Poland20DF31201
Poland,H,21,MF,Rafa? Kurzawa,1/29/1993,25,3,0,Górnik Zabrze,1,Poland21MF33998
Poland,H,22,GK,?ukasz Fabia?ski,4/18/1985,33,43,0,Swansea City,1,Poland22GK31155
Poland,H,23,FW,Dawid Kownacki,3/14/1997,21,1,0,Sampdoria,1,Poland23FW35503
Senegal,H,1,GK,Abdoulaye Diallo,3/30/1992,26,16,0,Rennes,1,Senegal1GK33693
Senegal,H,2,DF,Saliou Ciss,6/15/1989,28,18,0,Valenciennes,1,Senegal2DF32674
Senegal,H,3,DF,Kalidou Koulibaly,6/20/1991,26,24,0,Napoli,1,Senegal3DF33409
Senegal,H,4,DF,Kara Mbodji,11/22/1989,28,51,5,Anderlecht,1,Senegal4DF32834
Senegal,H,5,MF,Idrissa Gueye,9/26/1989,28,59,1,Everton,1,Senegal5MF32777
Senegal,H,6,MF,Salif Sané,8/25/1990,27,20,0,Hannover 96,1,Senegal6MF33110
Senegal,H,7,FW,Moussa Sow,1/19/1986,32,50,18,Bursaspor,1,Senegal7FW31431
Senegal,H,8,MF,Cheikhou Kouyaté (captain),12/21/1989,28,47,2,West Ham United,1,Senegal8MF32863
Senegal,H,9,FW,Mame Biram Diouf,12/16/1987,30,47,10,Stoke City,1,Senegal9FW32127
Senegal,H,10,FW,Sadio Mané,4/10/1992,26,51,14,Liverpool,1,Senegal10FW33704
Senegal,H,11,MF,Cheikh N'Doye,3/29/1986,32,24,3,Birmingham City,1,Senegal11MF31500
Senegal,H,12,DF,Youssouf Sabaly,3/5/1993,25,3,0,Bordeaux,1,Senegal12DF34033
Senegal,H,13,MF,Alfred N'Diaye,3/6/1990,28,19,0,Wolverhampton Wanderers,1,Senegal13MF32938
Senegal,H,14,FW,Moussa Konaté,4/3/1993,25,27,9,Amiens,1,Senegal14FW34062
Senegal,H,15,FW,Diafra Sakho,12/24/1989,28,10,3,Rennes,1,Senegal15FW32866
Senegal,H,16,GK,Khadim N'Diaye,4/5/1985,33,25,0,Horoya,1,Senegal16GK31142
Senegal,H,17,MF,Badou Ndiaye,10/27/1990,27,18,1,Stoke City,1,Senegal17MF33173
Senegal,H,18,FW,Ismaïla Sarr,2/25/1998,20,14,2,Rennes,1,Senegal18FW35851
Senegal,H,19,FW,M'Baye Niang,12/19/1994,23,5,0,Torino,1,Senegal19FW34687
Senegal,H,20,FW,Keita Baldé,3/8/1995,23,17,3,Monaco,1,Senegal20FW34766
Senegal,H,21,DF,Lamine Gassama,10/20/1989,28,35,0,Alanyaspor,1,Senegal21DF32801
Senegal,H,22,DF,Moussa Wagué,10/4/1998,19,9,0,Eupen,1,Senegal22DF36072
Senegal,H,23,GK,Alfred Gomis,9/5/1993,24,1,0,SPAL,1,Senegal23GK34217
